,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
9350,A798875,Patsy,2019-07-28 12:02:00,2019-05-26,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,Jul,2019
121865,A825173,Otay,2023-05-03 17:39:00,2019-10-29,Adoption,Foster,Dog,Neutered Male,3 years,German Shepherd,Tan/Black,May,2023
116837,A692911,Lincoln,2014-12-07 19:07:00,2013-11-28,Adoption,Foster,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown Merle,Dec,2014
40853,A742712,Kubo,2017-01-31 19:06:00,2016-01-26,Adoption,Foster,Dog,Neutered Male,1 year,Australian Kelpie Mix,Tan/Black,Jan,2017
129399,A750309,Mimi,2017-07-25 18:25:00,2017-04-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Jul,2017
113829,A844419,A844419,2021-10-19 17:33:00,2021-07-31,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,Oct,2021
16419,A696966,Farrah,2015-12-17 15:31:00,2013-02-15,Adoption,Foster,Dog,Spayed Female,2 years,English Coonhound Mix,Red/White,Dec,2015
123305,A696929,Timber,2015-04-29 17:31:00,2014-12-06,Adoption,Foster,Dog,Neutered Male,4 months,Siberian Husky Mix,Gray/White,Apr,2015
21143,A709335,Dill,2015-09-08 18:10:00,2015-06-22,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Sep,2015
70625,A719343,Evie,2016-07-05 08:55:00,2012-01-17,Adoption,Foster,Dog,Spayed Female,4 years,Boxer Mix,Brown Brindle/White,Jul,2016
110835,A810937,Scooter,2020-01-12 17:40:00,2017-12-23,Adoption,Foster,Dog,Neutered Male,2 years,Wire Hair Fox Terrier,White,Jan,2020
15580,A879611,Panda,2023-04-29 13:54:00,2021-04-28,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,White/Black,Apr,2023
137294,A740775,Juniper,2017-01-16 14:55:00,2015-12-22,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,Jan,2017
129254,A814878,Noodle,2020-03-13 16:53:00,2019-12-23,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair,Torbie,Mar,2020
125421,A803880,Oakley,2020-02-11 19:35:00,2016-09-07,Adoption,Foster,Dog,Spayed Female,3 years,Siberian Husky Mix,Black/White,Feb,2020
126010,A708499,Junie,2015-11-18 18:44:00,2015-08-10,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Brown Tabby,Nov,2015
86030,A814494,AliceJade,2020-03-15 12:42:00,2019-10-01,Adoption,Foster,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,Mar,2020
138274,A801184,Trevor,2019-08-17 10:04:00,2018-08-01,Adoption,Foster,Dog,Neutered Male,1 year,Australian Cattle Dog,White/Black,Aug,2019
129831,A839317,Unknown,2021-09-18 10:23:00,2021-07-14,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Sep,2021
120811,A856991,Theo,2022-08-13 17:29:00,2016-05-10,Adoption,Foster,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Blue/White,Aug,2022
132352,A844728,A844728,2021-10-25 16:58:00,2021-06-19,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Tortie Point/White,Oct,2021
73314,A855851,Unknown,2022-04-29 14:03:00,2022-02-12,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,Apr,2022
139874,A737479,Barbie,2016-11-05 13:10:00,2016-04-29,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie,Nov,2016
147404,A870151,Luna,2022-12-06 18:21:00,2022-08-01,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Blue,Dec,2022
82987,A706582,JohnLocke,2015-08-23 13:41:00,2015-06-15,Adoption,Foster,Dog,Neutered Male,2 months,Carolina Dog/Chihuahua Shorthair,Black/White,Aug,2015
132916,A796304,Boo,2019-06-23 17:22:00,2019-04-20,Adoption,Foster,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point,Jun,2019
83533,A799338,Jojo,2019-07-12 17:48:00,2019-03-12,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair,Blue/White,Jul,2019
76222,A714337,Binx,2015-11-08 18:05:00,2015-08-13,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Nov,2015
47102,A786821,Unknown,2019-01-06 17:00:00,2018-09-01,Adoption,Foster,Dog,Spayed Female,4 months,Dachshund Mix,Brown/Tan,Jan,2019
112306,A726402,Amiga,2016-05-29 16:07:00,2016-02-10,Adoption,Foster,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Cream Tabby,May,2016
49269,A766812,Annie,2018-02-17 14:52:00,2017-03-17,Adoption,Foster,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Blue Tabby/White,Feb,2018
76327,A713829,George,2015-12-16 16:37:00,2015-09-06,Adoption,Foster,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue,Dec,2015
4565,A699168,CocoBear,2015-04-01 18:14:00,2007-03-23,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Longhair Mix,Tortie,Apr,2015
80703,A729210,Unknown,2016-07-07 18:53:00,2016-04-25,Adoption,Foster,Dog,Neutered Male,2 months,Catahoula Mix,Blue Merle/White,Jul,2016
13796,A802191,Goji,2019-09-28 12:12:00,2019-07-15,Adoption,Foster,Cat,Spayed Female,2 months,Russian Blue,Blue,Sep,2019
1496,A691551,Carter,2014-11-10 17:58:00,2014-08-22,Adoption,Foster,Dog,Neutered Male,2 months,Chinese Sharpei Mix,Tricolor,Nov,2014
51181,A772787,Jinx,2018-06-10 13:43:00,2018-03-31,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,Jun,2018
